history,move
"r20-27,b43-36,r13-20,b47-38,r6-13",b36-29
"r20-27,b43-36,r13-20,b47-38,r6-13,b36-29,r22x36,b52-43,r16-25,b43x29,r25-32,b45-36,r27x45,b54x36,r13-22,b61-52,r9-16,b36-27,r18x36,b29x43,r2-9,b63-54,r4-13,b41-34",r22-29
"r20-27,b43-36,r13-20,b47-38,r6-13,b36-29,r22x36,b52-43,r16-25,b43x29,r25-32,b45-36,r27x45,b54x36,r13-22,b61-52,r9-16,b36-27,r18x36,b29x43,r2-9,b63-54,r4-13,b41-34,r22-29,b43-36,r29x43,b50x36,r9-18,b34-25,r16x34",b38-31
"r20-27,b43-36,r13-20,b47-38,r6-13,b36-29,r22x36,b52-43,r16-25,b43x29,r25-32,b45-36,r27x45,b54x36,r13-22,b61-52,r9-16,b36-27,r18x36,b29x43,r2-9,b63-54,r4-13,b41-34,r22-29,b43-36,r29x43,b50x36,r9-18,b34-25,r16x34,b38-31",r15-22
"r20-27,b43-36,r13-20,b47-38,r6-13,b36-29,r22x36,b52-43,r16-25,b43x29,r25-32,b45-36,r27x45,b54x36,r13-22,b61-52,r9-16,b36-27,r18x36,b29x43,r2-9,b63-54,r4-13,b41-34,r22-29,b43-36,r29x43,b50x36,r9-18,b34-25,r16x34,b38-31,r15-22",b48-41
"r20-27,b43-36,r13-20,b47-38,r6-13,b36-29,r22x36,b52-43,r16-25,b43x29,r25-32,b45-36,r27x45,b54x36,r13-22,b61-52,r9-16,b36-27,r18x36,b29x43,r2-9,b63-54,r4-13,b41-34,r22-29,b43-36,r29x43,b50x36,r9-18,b34-25,r16x34,b38-31,r15-22,b48-41,r32x50,b59x41,r34x48,b54-47,r18-27,b36x18,r11x25,b57-50",r22-29
r16-25,b43-34
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18",b41-34
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2",r20-27
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2,r20-27,b2x38,r27x41,b50x32",r0-9
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2,r20-27,b2x38,r27x41,b50x32,r0-9",b38-29
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2,r20-27,b2x38,r27x41,b50x32,r0-9,b38-29,r22x36,b45x27,r18x36,b61-52,r4-11,b32-25",r36-45
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2,r20-27,b2x38,r27x41,b50x32,r0-9,b38-29,r22x36,b45x27,r18x36,b61-52,r4-11,b32-25,r36-45,b54x36,r15-22,b25-18",r11x25
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2,r20-27,b2x38,r27x41,b50x32,r0-9,b38-29,r22x36,b45x27,r18x36,b61-52,r4-11,b32-25,r36-45,b54x36,r15-22,b25-18,r11x25,b57-50",r6-15
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2,r20-27,b2x38,r27x41,b50x32,r0-9,b38-29,r22x36,b45x27,r18x36,b61-52,r4-11,b32-25,r36-45,b54x36,r15-22,b25-18,r11x25,b57-50,r6-15,b63-54,r13-20,b52-45,r25-34,b48-41,r34x48,b47-38,r20-29,b38x20,r48-57,b54-47,r57x43,b36x50,r22-31,b20-11,r15-22,b50-43,r9-16,b47-38,r16-25,b43-36,r25-32,b36-29",r22x36
"r16-25,b43-34,r25x43,b52x34,r18-25,b34x16,r9-18,b41-34,r2-9,b16x2,r20-27,b2x38,r27x41,b50x32,r0-9,b38-29,r22x36,b45x27,r18x36,b61-52,r4-11,b32-25,r36-45,b54x36,r15-22,b25-18,r11x25,b57-50,r6-15,b63-54,r13-20,b52-45,r25-34,b48-41,r34x48,b47-38,r20-29,b38x20,r48-57,b54-47,r57x43,b36x50,r22-31,b20-11,r15-22,b50-43,r9-16,b47-38,r16-25,b43-36,r25-32,b36-29,r22x36,b45x27,r31x45,b27-18,r32-41,b59-50,r41x59,b18-9,r45-52,b9-0,r59-41,b11-2,r52-61,b0-45",r61-54
