game_history,scores,winner
"[('b', (41, 32), 0), ('r', (18, 25), 0), ('b', (32, 18), -10), ('r', (9, 27), 2), ('b', (43, 34), 0), ('r', (27, 41), -2), ('b', (48, 34), 0), ('r', (0, 9), 0), ('b', (45, 36), 0), ('r', (9, 18), 0), ('b', (52, 45), 0), ('r', (16, 25), 0), ('b', (34, 16), -4), ('r', (18, 25), 0), ('b', (16, 34), 0), ('r', (20, 27), 0), ('b', (36, 18), 5), ('r', (11, 25), 9), ('r', (25, 43), 0), ('b', (50, 36), -13), ('r', (2, 9), 0), ('b', (59, 52), 0), ('r', (4, 11), 0), ('b', (36, 27), 0), ('r', (9, 16), 0), ('b', (57, 48), 0), ('r', (11, 20), 0), ('b', (48, 41), 0), ('r', (20, 34), -3), ('r', (34, 48), 19), ('b', (47, 38), 0), ('r', (13, 20), 0), ('b', (52, 43), 0), ('r', (22, 31), 0), ('b', (43, 34), 0), ('r', (48, 57), 0), ('b', (61, 52), 0), ('r', (57, 48), 0), ('b', (45, 36), 0), ('r', (48, 27), 0), ('r', (27, 45), 36), ('r', (45, 59), 26), ('b', (38, 29), 0), ('r', (20, 38), 1), ('b', (54, 45), 0), ('r', (38, 52), 21), ('b', (63, 54), 0), ('r', (31, 38), 0), ('b', (54, 45), 0), ('r', (59, 50), 0), ('b', (45, 59), 5), ('b', (59, 41), 0), ('r', (6, 13), 0), ('b', (41, 34), 0), ('r', (13, 20), 0), ('b', (34, 27), 0), ('r', (20, 34), -6)]","{'b': -17, 'r': 78}",r
"[('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -13), ('r', (18, 25), 0), ('b', (16, 34), 9), ('r', (9, 16), 0), ('b', (45, 36), 0), ('r', (2, 9), 0), ('b', (48, 41), 0), ('r', (11, 18), 0), ('b', (36, 29), 0), ('r', (20, 38), 5), ('b', (47, 29), 0), ('r', (22, 36), -13), ('b', (43, 29), -1), ('r', (4, 11), 0), ('b', (50, 43), 0), ('r', (11, 20), 0), ('b', (29, 11), 48), ('b', (11, 25), 16), ('r', (9, 18), 0), ('b', (25, 11), -30), ('r', (13, 20), 0), ('b', (11, 29), -2), ('r', (0, 9), 0), ('b', (57, 48), 0), ('r', (6, 13), 0), ('b', (43, 36), 0), ('r', (9, 18), 0), ('b', (36, 27), 0), ('r', (18, 36), 5), ('r', (36, 22), 0), ('b', (34, 25), 0), ('r', (16, 34), 0), ('b', (41, 27), 7), ('r', (22, 31), 0), ('b', (48, 41), 0), ('r', (13, 20), 0), ('b', (27, 13), -11), ('r', (15, 22), 0), ('b', (13, 4), 0), ('r', (22, 29), 0), ('b', (52, 45), 0), ('r', (29, 36), 0), ('b', (45, 27), 10), ('r', (31, 38), 0), ('b', (59, 52), 0), ('r', (38, 45), 0), ('b', (52, 38), 10)]","{'b': 40, 'r': -3}",b
"[('b', (45, 36), 0), ('r', (20, 27), 0), ('b', (36, 29), 0), ('r', (22, 36), -8), ('b', (43, 29), -1), ('r', (11, 20), 0), ('b', (29, 11), 60), ('b', (11, 25), 5), ('r', (16, 34), 0), ('b', (52, 45), 0), ('r', (2, 11), 0), ('b', (50, 43), 0), ('r', (34, 52), -12), ('r', (52, 38), 14), ('b', (47, 29), 1), ('r', (9, 16), 0), ('b', (41, 32), 0), ('r', (0, 9), 0), ('b', (54, 47), 0), ('r', (9, 18), 0), ('b', (47, 38), 0), ('r', (11, 20), 0), ('b', (29, 11), -20), ('b', (11, 25), 6), ('r', (16, 34), -2), ('b', (61, 54), 0), ('r', (4, 11), 0), ('b', (38, 31), 0), ('r', (11, 18), 0), ('b', (59, 50), 0), ('r', (27, 36), 0), ('b', (54, 45), 0), ('r', (36, 54), -2), ('b', (63, 45), 8), ('r', (13, 20), 0), ('b', (50, 41), 0), ('r', (18, 25), 0), ('b', (32, 18), -1), ('r', (6, 13), 0), ('b', (41, 27), 15), ('r', (20, 34), -1), ('b', (48, 41), 0), ('r', (34, 48), -3), ('b', (18, 11), 0), ('r', (13, 20), 0), ('b', (11, 29), 0), ('r', (15, 22), 0), ('b', (29, 15), -9)]","{'b': 39, 'r': -17}",b
"[('b', (41, 32), 0), ('r', (18, 25), 0), ('b', (32, 18), -10), ('r', (9, 27), 2), ('b', (50, 41), 0), ('r', (0, 9), 0), ('b', (47, 38), 0), ('r', (9, 18), 0), ('b', (38, 31), 0), ('r', (16, 25), 0), ('b', (41, 32), 0), ('r', (2, 9), 0), ('b', (43, 36), 0), ('r', (9, 16), 0), ('b', (59, 50), 0), ('r', (20, 29), 0), ('b', (45, 38), 0), ('r', (27, 45), -1), ('r', (45, 59), -17), ('r', (59, 41), -2), ('b', (32, 50), -20), ('r', (29, 47), 7), ('b', (61, 52), 0), ('r', (47, 61), -1), ('r', (61, 43), -60), ('b', (50, 36), -18), ('r', (11, 20), 0), ('b', (57, 50), 0), ('r', (20, 27), 0), ('b', (63, 54), 0), ('r', (27, 45), 7), ('r', (45, 63), 20), ('b', (48, 41), 0), ('r', (4, 11), 0), ('b', (41, 32), 0), ('r', (11, 20), 0), ('b', (50, 43), 0), ('r', (18, 27), 0), ('b', (32, 18), 4), ('b', (18, 36), -2), ('r', (63, 27), 20), ('b', (43, 36), 0), ('r', (27, 45), -2)]","{'b': -42, 'r': -27}",r
"[('b', (45, 36), 0), ('r', (18, 25), 0), ('b', (43, 34), 0), ('r', (25, 43), -6), ('r', (43, 29), 1), ('b', (50, 43), 0), ('r', (9, 18), 0), ('b', (52, 45), 0), ('r', (0, 9), 0), ('b', (41, 32), 0), ('r', (16, 25), 0), ('b', (59, 52), 0), ('r', (9, 16), 0), ('b', (45, 38), 0), ('r', (2, 9), 0), ('b', (57, 50), 0), ('r', (18, 27), 0), ('b', (32, 18), -5), ('b', (18, 36), -2), ('r', (11, 18), 0), ('b', (50, 41), 0), ('r', (4, 11), 0), ('b', (43, 34), 0), ('r', (29, 43), 9), ('r', (43, 25), -4), ('b', (38, 29), 0), ('r', (20, 38), 16), ('b', (47, 29), 0), ('r', (22, 36), -13), ('b', (41, 34), 0), ('r', (25, 43), 11), ('b', (52, 34), -8), ('r', (11, 20), 0), ('b', (54, 45), 0), ('r', (36, 54), 1), ('b', (61, 47), 4), ('r', (13, 22), 0), ('b', (47, 38), 0), ('r', (20, 29), 0), ('b', (38, 20), -40), ('r', (6, 13), 0), ('b', (20, 6), -16), ('r', (18, 25), 0), ('b', (63, 54), 0), ('r', (25, 43), 80), ('b', (54, 47), 0), ('r', (16, 25), 0), ('b', (6, 34), 0), ('r', (9, 16), 0), ('b', (34, 61), -2), ('r', (22, 29), 0), ('b', (61, 43), 0), ('r', (25, 32), 0), ('b', (43, 22), 2), ('r', (15, 29), 0), ('b', (47, 38), 0), ('r', (29, 47), -2), ('b', (48, 41), 0), ('r', (32, 50), 2)]","{'b': -67, 'r': 92}",r
"[('b', (47, 38), 0), ('r', (16, 25), 0), ('b', (43, 34), 0), ('r', (25, 43), 24), ('b', (52, 34), 2), ('r', (9, 16), 0), ('b', (59, 52), 0), ('r', (0, 9), 0), ('b', (50, 43), 0), ('r', (16, 25), 0), ('b', (34, 16), 17), ('r', (18, 25), 0), ('b', (16, 34), -10), ('r', (9, 16), 0), ('b', (34, 25), 0), ('r', (16, 34), 0), ('b', (43, 25), -1), ('r', (2, 9), 0), ('b', (38, 31), 0), ('r', (9, 16), 0), ('b', (41, 34), 0), ('r', (11, 18), 0), ('b', (25, 11), -30), ('b', (11, 29), -1), ('r', (22, 36), -6), ('b', (45, 27), 8), ('r', (4, 11), 0), ('b', (34, 25), 0), ('r', (16, 34), 0), ('r', (34, 20), 5), ('b', (48, 41), 0), ('r', (11, 18), 0), ('b', (41, 34), 0), ('r', (18, 25), 0), ('b', (34, 16), -8), ('r', (15, 22), 0), ('b', (52, 43), 0), ('r', (6, 15), 0), ('b', (57, 50), 0), ('r', (20, 27), 0), ('b', (50, 41), 0), ('r', (13, 20), 0), ('b', (31, 13), 4), ('r', (20, 6), 1), ('b', (16, 9), 0), ('r', (6, 13), 0), ('b', (61, 52), 0), ('r', (13, 20), 0), ('b', (52, 45), 0), ('r', (15, 22), 0), ('b', (45, 36), 0), ('r', (27, 45), -10), ('b', (54, 36), -2), ('r', (20, 27), 0), ('b', (36, 18), -10), ('r', (22, 29), 0), ('b', (18, 11), 0), ('r', (29, 36), 0), ('b', (43, 29), -1)]","{'b': -40, 'r': 14}",r
"[('b', (43, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), 2), ('r', (18, 25), 0), ('b', (16, 34), -6), ('r', (9, 16), 0), ('b', (45, 38), 0), ('r', (20, 27), 0), ('b', (34, 20), 36), ('r', (13, 27), -9), ('b', (50, 43), 0), ('r', (4, 13), 0), ('b', (59, 50), 0), ('r', (2, 9), 0), ('b', (38, 29), 0), ('r', (22, 36), -8), ('b', (43, 29), 0), ('r', (9, 18), 0), ('b', (54, 45), 0), ('r', (11, 20), 0), ('b', (29, 11), -30), ('b', (11, 25), -8), ('r', (16, 34), 2), ('b', (45, 38), 0), ('r', (13, 20), 0), ('b', (38, 31), 0), ('r', (0, 9), 0), ('b', (31, 22), 0), ('r', (15, 29), 0), ('b', (47, 38), 0), ('r', (29, 47), -4), ('b', (52, 43), 0), ('r', (34, 52), -70), ('b', (61, 43), 35), ('r', (6, 13), 0), ('b', (43, 36), 0), ('r', (27, 45), -8), ('b', (41, 34), 0), ('r', (9, 16), 0), ('b', (50, 41), 0), ('r', (20, 27), 0), ('b', (34, 20), -72), ('b', (20, 6), -20), ('r', (16, 25), 0), ('b', (6, 34), 0), ('r', (25, 43), -36), ('b', (41, 34), 0), ('r', (43, 25), 10), ('b', (48, 41), 0), ('r', (25, 32), 0), ('b', (63, 54), 0), ('r', (32, 50), 2), ('b', (57, 43), -22), ('r', (45, 63), -6), ('b', (43, 36), 0), ('r', (63, 27), 16)]","{'b': -85, 'r': -117}",b
"[('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -13), ('r', (20, 29), 0), ('b', (48, 41), 0), ('r', (11, 20), 0), ('b', (45, 36), 0), ('r', (4, 11), 0), ('b', (47, 38), 0), ('r', (29, 47), 2), ('b', (57, 48), 0), ('r', (18, 25), 0), ('b', (16, 34), 9), ('r', (9, 16), 0), ('b', (54, 45), 0), ('r', (0, 9), 0), ('b', (34, 27), 0), ('r', (20, 34), -2), ('b', (41, 27), -10), ('r', (9, 18), 0), ('b', (27, 9), 0), ('r', (11, 18), 0), ('b', (9, 27), -8), ('r', (2, 9), 0), ('b', (50, 41), 0), ('r', (9, 18), 0), ('b', (27, 9), 0), ('r', (16, 2), 0), ('b', (36, 29), 0), ('r', (22, 36), -8), ('r', (36, 50), -3), ('r', (50, 32), 27), ('b', (48, 41), 0), ('r', (32, 50), -20), ('b', (59, 41), -1), ('r', (2, 9), 0), ('b', (41, 34), 0), ('r', (9, 16), 0), ('b', (34, 27), 0), ('r', (13, 20), 0), ('b', (27, 13), 5), ('r', (6, 20), -88), ('b', (61, 54), 0), ('r', (47, 61), -2), ('r', (61, 43), 120), ('b', (45, 38), 0), ('r', (15, 22), 0), ('b', (63, 54), 0), ('r', (16, 25), 0), ('b', (38, 31), 0), ('r', (20, 29), 0), ('b', (31, 13), -7), ('r', (25, 32), 0), ('b', (13, 6), 0), ('r', (29, 36), 0), ('b', (6, 13), 0), ('r', (32, 41), 0), ('b', (13, 48), 0), ('r', (43, 50), 0), ('b', (48, 27), 0), ('r', (36, 18), -36), ('b', (54, 47), 0), ('r', (18, 25), 0), ('b', (47, 38), 0), ('r', (25, 32), 0), ('b', (38, 29), 0), ('r', (50, 22), 6)]","{'b': -25, 'r': -3}",r
"[('b', (45, 36), 0), ('r', (18, 25), 0), ('b', (36, 27), 0), ('r', (20, 34), -6), ('b', (41, 27), -15), ('r', (9, 18), 0), ('b', (27, 9), 1), ('r', (0, 18), -7), ('b', (47, 38), 0), ('r', (2, 9), 0), ('b', (54, 47), 0), ('r', (11, 20), 0), ('b', (38, 31), 0), ('r', (25, 32), 0), ('b', (52, 45), 0), ('r', (4, 11), 0), ('b', (61, 54), 0), ('r', (18, 25), 0), ('b', (43, 34), 0), ('r', (25, 43), 12), ('b', (50, 36), -5), ('r', (11, 18), 0), ('b', (59, 52), 0), ('r', (16, 25), 0), ('b', (57, 50), 0), ('r', (9, 16), 0), ('b', (52, 43), 0), ('r', (20, 27), 0), ('b', (43, 34), 0), ('r', (27, 41), 1), ('r', (41, 59), 21), ('r', (59, 38), 40), ('b', (31, 45), 28), ('r', (13, 20), 0), ('b', (36, 27), 0), ('r', (18, 36), 11), ('b', (45, 27), -4), ('b', (27, 13), 1), ('b', (13, 31), -36), ('r', (6, 13), 0), ('b', (54, 45), 0), ('r', (13, 20), 0), ('b', (63, 54), 0), ('r', (20, 27), 0), ('b', (45, 38), 0), ('r', (25, 34), 0), ('b', (54, 45), 0), ('r', (15, 22), 0), ('b', (31, 13), 4), ('r', (16, 25), 0), ('b', (13, 6), 0), ('r', (27, 36), 0), ('b', (6, 41), 2), ('r', (32, 50), 6), ('b', (45, 27), 13), ('r', (25, 32), 0), ('b', (27, 18), 0), ('r', (32, 41), 0), ('b', (48, 34), 0), ('r', (50, 57), 0), ('b', (38, 31), 0), ('r', (57, 48), 0), ('b', (18, 11), 0), ('r', (48, 27), -2), ('b', (31, 22), 0), ('r', (27, 34), 0), ('b', (22, 15), 0), ('r', (34, 41), 0), ('b', (15, 6), 0), ('r', (41, 48), 0), ('b', (6, 41), 0), ('r', (48, 34), 0), ('b', (47, 38), 0), ('r', (34, 41), 0), ('b', (38, 31), 0), ('r', (41, 48), 0), ('b', (31, 22), 0), ('r', (48, 57), 0), ('b', (22, 15), 0), ('r', (57, 48), 0), ('b', (11, 2), 0), ('r', (48, 57), 0), ('b', (2, 9), 0), ('r', (57, 48), 0), ('b', (9, 54), 0), ('r', (48, 57), 0), ('b', (54, 45), 0), ('r', (57, 48), 0), ('b', (15, 6), 0), ('r', (48, 57), 0), ('b', (45, 52), 0), ('r', (57, 48), 0), ('b', (52, 38), 0), ('r', (48, 57), 0), ('b', (6, 27), 0), ('r', (57, 48), 0), ('b', (27, 34), 0), ('r', (48, 27), 24), ('b', (38, 47), 0), ('r', (27, 34), 0), ('b', (47, 38), 0), ('r', (34, 41), 0), ('b', (38, 45), 0), ('r', (41, 48), 0), ('b', (45, 59), 0), ('r', (48, 57), 0), ('b', (59, 38), 0), ('r', (57, 48), 0), ('b', (38, 45), 0), ('r', (48, 57), 0), ('b', (45, 38), 0), ('r', (57, 48), 0), ('b', (38, 59), 0), ('r', (48, 41), 0), ('b', (59, 32), -8)]","{'b': -15, 'r': 100}",r
