move_history_length,red_score,blue_score,winner,score_diff
44,-129,20,BLUE,-149
42,-106,27,BLUE,-133
47,-15,7,BLUE,-22
38,-83,14,BLUE,-97
38,4,0,RED,4
46,-40,282,BLUE,-322
44,0,0,DRAW,0
38,4,0,RED,4
43,-42,33,BLUE,-75
50,-53,44,BLUE,-97
36,38,0,RED,38
42,-106,27,BLUE,-133
34,3,19,BLUE,-16
38,4,0,RED,4
43,-122,19,BLUE,-141
35,-178,4,BLUE,-182
36,38,0,RED,38
43,-122,19,BLUE,-141
55,-104,36,BLUE,-140
46,-4,173,BLUE,-177
36,38,0,RED,38
40,-119,85,BLUE,-204
36,38,0,RED,38
42,-106,27,BLUE,-133
50,-85,21,BLUE,-106
33,-137,19,BLUE,-156
46,-15,3,BLUE,-18
43,-122,19,BLUE,-141
42,-63,0,BLUE,-63
41,-54,27,BLUE,-81
47,-36,40,BLUE,-76
42,-105,106,BLUE,-211
36,-31,12,BLUE,-43
44,28,39,BLUE,-11
32,-5,62,BLUE,-67
46,-16,11,BLUE,-27
41,-43,0,BLUE,-43
43,-122,19,BLUE,-141
42,9,25,BLUE,-16
40,-6,10,BLUE,-16
45,-3,11,BLUE,-14
47,-5,50,BLUE,-55
42,-51,12,BLUE,-63
56,-47,117,BLUE,-164
41,-71,18,BLUE,-89
45,-23,11,BLUE,-34
41,-43,0,BLUE,-43
43,-122,19,BLUE,-141
47,-106,19,BLUE,-125
42,-40,28,BLUE,-68
