move_history_length,red_score,blue_score,winner,score_diff
57,78,-17,RED,95
49,-3,40,BLUE,-43
48,-17,39,BLUE,-56
43,-27,-42,RED,15
59,92,-67,RED,159
59,14,-40,RED,54
56,-117,-85,BLUE,-32
67,-3,-25,RED,22
115,100,-15,RED,115
49,199,-60,RED,259
39,93,-106,RED,199
44,95,-75,RED,170
66,-191,-43,BLUE,-148
59,-29,13,BLUE,-42
60,113,-52,RED,165
42,117,42,RED,75
44,-107,-4,BLUE,-103
46,-10,-16,RED,6
54,-61,104,BLUE,-165
44,-81,-5,BLUE,-76
43,-1,17,BLUE,-18
54,-32,-11,BLUE,-21
42,222,8,RED,214
72,53,-40,RED,93
50,22,-11,RED,33
49,-13,-146,RED,133
62,-101,-21,BLUE,-80
58,-85,-61,BLUE,-24
37,-113,-80,BLUE,-33
46,155,3,RED,152
43,15,-42,RED,57
39,-138,45,BLUE,-183
47,-19,11,BLUE,-30
50,5,-7,RED,12
102,105,-11,RED,116
50,1,-21,RED,22
53,-36,-79,RED,43
56,-22,-42,RED,20
57,46,-112,RED,158
63,158,82,RED,76
36,-89,36,BLUE,-125
50,-83,8,BLUE,-91
64,133,51,RED,82
47,-8,68,BLUE,-76
56,1,-11,RED,12
63,8,-136,RED,144
56,74,12,RED,62
72,-23,3,BLUE,-26
62,49,-43,RED,92
48,12,-27,RED,39
